clust,verified,haplo,spec,stability,max_p,zones,sites
Clust101,0,192,3421,0.33,9.04,8,27
Clust040,0,6,17,1.00,1.88,1,7
Clust057,0,6,11,0.67,1.89,4,5
Clust092,0,7,22,0.86,2.80,3,11
Clust106,0,2,10,0.50,2.86,2,4
Clust069,0,2,11,0.50,1.59,2,3
Clust097,0,2,9,0.50,2.52,2,2
Clust094,0,10,28,0.50,3.99,6,11
Clust093,0,4,14,0.50,3.69,3,3
Clust085,1,25,83,0.76,4.59,8,27
Clust024,1,10,165,1.00,0.64,8,8
Clust298,1,15,66,1.00,1.27,7,10
Clust293,1,16,163,1.00,2.22,7,19
Clust312,1,3,48,1.00,0.96,7,14
Clust002,1,13,38,1.00,1.88,6,8
Clust189,1,4,16,1.00,0.64,6,6
Clust006,1,2,23,1.00,0.64,5,10
Clust020,1,1,26,1.00,0.00,5,8
Clust210,1,3,20,1.00,0.64,5,9
Clust183,1,3,34,1.00,0.64,5,8
Clust267,1,2,16,1.00,0.32,5,7
Clust314,1,5,14,1.00,0.95,5,8
Clust192,1,2,23,1.00,0.32,5,6
Clust017,1,5,18,1.00,1.57,4,5
Clust018,1,12,48,1.00,1.57,4,11
Clust077,1,5,110,1.00,0.64,4,16
Clust250,1,4,73,1.00,0.64,4,10
Clust025,1,12,87,1.00,1.29,4,13
Clust242,1,3,18,1.00,0.63,4,6
Clust055,1,2,15,1.00,0.33,3,6
Clust063,1,4,4,0.75,2.31,3,4
Clust207,1,5,18,1.00,0.63,3,3
Clust255,1,2,10,1.00,0.33,3,3
Clust301,1,6,94,1.00,0.64,3,11
Clust279,1,5,11,1.00,0.66,3,6
Clust011,1,3,9,1.00,0.96,3,6
Clust032,1,11,37,1.00,1.88,3,5
Clust033,1,3,16,1.00,1.28,3,5
Clust116,1,1,7,1.00,0.00,3,4
Clust151,1,5,43,1.00,0.63,3,3
Clust168,1,2,8,1.00,0.32,3,6
Clust257,1,1,3,1.00,0.00,3,3
Clust258,1,3,6,1.00,0.64,3,4
Clust172,1,1,12,1.00,0.00,3,4
Clust050,1,3,4,0.67,1.58,2,3
Clust180,1,2,25,1.00,0.32,2,3
Clust110,1,1,2,1.00,0.00,2,2
Clust075,1,2,2,1.00,0.32,2,2
Clust233,1,6,8,1.00,0.96,2,4
Clust000,1,3,3,1.00,0.95,2,3
Clust211,1,1,2,1.00,0.00,2,2
Clust064,1,10,65,0.60,2.81,2,10
Clust186,1,4,17,1.00,0.64,2,5
Clust215,1,10,29,1.00,0.98,2,8
Clust328,1,1,4,1.00,0.00,2,3
Clust138,1,3,8,1.00,0.63,2,5
Clust140,1,1,11,1.00,0.00,2,2
Clust259,1,2,16,1.00,0.32,2,5
Clust261,1,21,364,1.00,1.60,2,10
Clust262,1,3,17,1.00,0.64,2,7
Clust321,1,7,119,1.00,1.57,2,7
Clust338,1,5,98,1.00,1.26,2,4
Clust339,1,2,12,1.00,0.64,2,3
Clust026,1,2,4,1.00,0.32,1,3
Clust003,1,1,1,1.00,0.00,1,1
Clust010,1,3,13,1.00,0.95,1,1
Clust012,1,1,1,1.00,0.00,1,1
Clust019,1,1,1,1.00,0.00,1,1
Clust022,1,1,1,1.00,0.00,1,1
Clust030,1,5,8,1.00,1.57,1,1
Clust043,1,1,1,1.00,0.00,1,1
Clust052,1,1,1,1.00,0.00,1,1
Clust087,1,4,36,1.00,0.65,1,4
Clust095,1,1,1,1.00,0.00,1,1
Clust098,1,2,2,1.00,0.32,1,1
Clust108,1,1,1,1.00,0.00,1,1
Clust113,1,1,3,1.00,0.00,1,2
Clust122,1,9,68,1.00,1.92,1,3
Clust130,1,1,1,1.00,0.00,1,1
Clust137,1,1,1,1.00,0.00,1,1
Clust139,1,1,2,1.00,0.00,1,2
Clust141,1,1,1,1.00,0.00,1,1
Clust149,1,2,3,1.00,0.32,1,2
Clust158,1,1,2,1.00,0.00,1,1
Clust181,1,2,40,1.00,0.32,1,4
Clust188,1,1,5,1.00,0.00,1,1
Clust190,1,1,1,1.00,0.00,1,1
Clust204,1,1,5,1.00,0.00,1,2
Clust205,1,2,2,1.00,0.32,1,2
Clust209,1,4,5,1.00,0.64,1,1
Clust212,1,2,10,1.00,0.96,1,1
Clust213,1,1,2,1.00,0.00,1,1
Clust222,1,1,4,1.00,0.00,1,1
Clust235,1,1,1,1.00,0.00,1,1
Clust238,1,2,2,1.00,0.32,1,1
Clust246,1,1,1,1.00,0.00,1,1
Clust264,1,1,12,1.00,0.00,1,5
Clust277,1,1,1,1.00,0.00,1,1
Clust329,1,2,2,1.00,0.64,1,2
Clust337,1,1,1,1.00,0.00,1,1
